status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1021581417961885_1101765049943521,看來外表還是很重要的，認同請分享,Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1101765049943521,2016-11-16 19:58:08,36985,462,991,30739,246,77,5905,9,9
1021581417961885_1101422229977803,本周候選人。,Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1101422229977803,2016-11-16 10:06:03,16918,306,42,14427,88,47,2348,1,7
1021581417961885_1101418493311510,柯Ｐ笑看世堅情 #狂阿編,王世堅嗆「進看守所」 韓國瑜：沒進 你吞曲棍球｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1101418493311510,2016-11-16 09:57:20,0,0,0,0,0,0,0,0,0
1021581417961885_1101022333351126,歡迎投票，我們尊重並採納最終的結果~,卡提諾論壇｜CK101.COM,video,https://www.facebook.com/1021581417961885/posts/1101022333351126,2016-11-15 21:14:27,12080,266,0,2775,67,48,734,32,8424
1021581417961885_1100566563396703,早安朋友,Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1100566563396703,2016-11-15 06:12:39,14108,1435,315,9483,33,134,1845,200,2413
1021581417961885_1100010243452335,"罹，心憂也。从网。未詳。古多通用離。 #狂阿編
👇👇👇
爆料投稿 https://goo.gl/FhDHxQ
👆👆👆",「羅」癌症...｜卡提諾狂新聞,link,https://www.facebook.com/1021581417961885/posts/1100010243452335,2016-11-14 22:11:00,2134,122,158,1659,4,22,440,6,3
1021581417961885_1100007930119233,"這不好說啊 市長 #狂阿編
👇👇👇
爆料投稿 https://goo.gl/FhDHxQ
👆👆👆",北市代燒雲林垃圾遭轟　柯P：垃圾不分藍綠,link,https://www.facebook.com/1021581417961885/posts/1100007930119233,2016-11-14 17:22:14,0,0,0,0,0,0,0,0,0
1021581417961885_1098943870225639,"【1113】卡提諾狂新聞 #039
※ 本週內容平平淡淡，請多包涵
※ 是包涵不是包起來
※ 吃大便不是好新聞
※ 打岳父是假新聞
※ 卡提諾狂新聞小編溫哥華報導
※ FB大神不要下架我好嗎
※ 狂新聞完整01期~38期連結：https://goo.gl/cQAZJJ",【1113】卡提諾狂新聞 #039,video,https://www.facebook.com/1021581417961885/posts/1098943870225639,2016-11-13 16:27:43,38165,1802,4864,33003,378,119,4561,39,65
1021581417961885_1098934800226546,"30分鐘後準時出稿。

#準時就是誠信",Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1098934800226546,2016-11-13 16:02:46,11419,401,38,9464,41,67,1231,19,597
1021581417961885_1098764230243603,皮卡丘專用樓，僅接受皮卡丘圖片回文。,Timeline Photos,photo,https://www.facebook.com/1021581417961885/posts/1098764230243603,2016-11-13 10:45:55,12984,916,135,11186,51,42,1301,12,392
