id,create_time,name,message,type,link,comments,reactions,shares
232633627068_10155619485277069,2017-02-21 03:58:40,換奶計劃曝光挨轟　路易莎急撤味全合作方案,"路易莎咖啡副總向浩誠保證：「三月份將繼續使用光泉鮮奶，請大家放心。」
　
【路易莎與味全合作？　分店急po滿滿光泉照】
http://www.appledaily.com.tw/realtimenews/article/life/20170221/1060601/
　
#路易莎咖啡 #光泉 #味全 #鮮奶 
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://www.appledaily.com.tw/realtimenews/article/life/20170221/1060774/,544,4520,530.0
232633627068_10155619473567069,2017-02-21 03:50:59,手握方向盤才算工時？　林美珠槓藍委：不要什麼都相信媒體,"「不要什麼都相信媒體，請查證後再說，立法院公報都有每一句話，可以看看公報。」
　
#林美珠 #勞動部長 #工時",link,http://www.appledaily.com.tw/realtimenews/article/politics/20170221/1060769/,166,1391,36.0
232633627068_10155619453257069,2017-02-21 03:39:45,【真相片】坐月子為什麼重要　骨科醫師告訴你原因,"請好好愛護剛生完小孩的媽咪們 #請分享 #路編
　
#坐月子 #醫師 #內有影片 
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://www.appledaily.com.tw/realtimenews/article/life/20170221/1060283/,577,17114,10648.0
232633627068_10155619413362069,2017-02-21 03:24:35,正式通車前一周　機場捷運道岔界接處驚傳斷裂,"都要正式通車了...... #最新
　
【機捷的道岔界接鋼材竟斷裂　專家：恐讓列車跑錯軌】
http://www.appledaily.com.tw/realtimenews/article/life/20170221/1060790/
　
#機捷 #機場捷運 #通車
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://www.appledaily.com.tw/realtimenews/article/life/20170221/1060763/,223,3513,310.0
232633627068_10155619352832069,2017-02-21 03:20:00,拍扁麵包師的麵包長這樣　網友看完崩潰了,"是說那個綠綠的醬是怎麼回事😲
　
#黃士福 #拍扁麵包師 #王友蘭 #批踢踢 批踢踢實業坊(Ptt.cc) 
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://www.appledaily.com.tw/realtimenews/article/life/20170221/1060738/,313,1986,124.0
232633627068_10155619369697069,2017-02-21 03:10:12,【必吃片】日本拉麵祭首登台　10大名店推限定口味,"拉麵迷們準備出動啦～～ #請分享
　
#日本拉麵祭 #拉麵 #日本美食 #名店 #ラーメン #內有影片
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://www.appledaily.com.tw/realtimenews/article/strange/20170221/1060421/,53,995,222.0
232633627068_10155619280742069,2017-02-21 03:00:03,【哭哭】誤信小三　中醫師偷情不戴套下場好慘,"還以為醫生會對健康教育比較了解，看來是我誤會惹( ͡° ͜ʖ ͡°) #路編
　
#小三 #外遇 #避孕 #懷孕 #中醫師 #內有影片",link,http://www.appledaily.com.tw/realtimenews/article/local/20170221/1060462/,46,2057,50.0
232633627068_10155619291782069,2017-02-21 02:50:00,【R.I.P.】陳珮騏暴哭叩拜高鳴　悲悼「感應到他很安祥」,"R.I.P.
　　
完整 #動新聞【R.I.P.】陳珮騏暴哭叩拜高鳴　悲悼「感應到他很安祥」
http://ent.appledaily.com.tw/actionnews/index/20170220/1060164/99
　
【圖文報導】
http://ent.appledaily.com.tw/realtimenews/article/entertainment/20170220/1060164/
　
#陳珮騏 #高鳴 #癌症 #劉奕兒 #劉至翰 #郭建宏 #台視 #華視 #周遊 #楊貴媚 #江宏恩 #真情滿天下  劉至翰 劉奕兒 Eugenie Liu 陳珮騏打氣團",video,https://www.facebook.com/appledaily.tw/videos/10155619291782069/,39,5605,42.0
232633627068_10155619300237069,2017-02-21 02:40:00,路易莎與味全合作？　分店急po滿滿光泉照,"結果有分店出面澄清了......
　
#路易莎咖啡 #光泉 #味全 #鮮奶 #批踢踢 批踢踢實業坊(Ptt.cc) 
🐶第一次跟狗狗溝通就上手 https://goo.gl/29RPDG",link,http://www.appledaily.com.tw/realtimenews/article/life/20170221/1060601/,151,2257,92.0
232633627068_10155619256297069,2017-02-21 02:30:00,【捕獲】王怡仁主播變人母遛兒　腿庫肉成亮點,"好幸福喔～～ #鄉編 
　　
完整 #動新聞【捕獲】王怡仁主播變人母遛兒　腿庫肉成亮點
http://ent.appledaily.com.tw/actionnews/index/20170220/1059748/0
　
【圖文報導】
http://ent.appledaily.com.tw/realtimenews/article/entertainment/20170220/1059748
　
#王怡仁 #主播",video,https://www.facebook.com/appledaily.tw/videos/10155619256297069/,24,1185,4.0
